                                  SITUATIA MATERIALELOR

                                                                                                             
ADM PIETELOR PITESTI -  -   -  -   -                                                                         

CONTUL: 16=600.02.05.24.05       RECHIZITE DE BIROU SI FURNITURI STOCABILE           Uz/St 0=UZ          GEST.(Ge):  1=ADM PIETELOR PITESTI
LOCUL UNDE SE AFLA: 50 = MAGAZIA CENTRALA       SURSA FINANTARE (F):  3=BUGET CAP.51.03  PROVENIENTA (P):  1 =INZ. ORG.CENTR.  pagina:     1
|-----|------------------------------------------|--------|----------|-------|---------------|-----------|---------------|---|--|--|--|--|--|
|  Nr.|                                          |        |          |       |    PRETUL     |           |               |Co-|Uz|Ge|Lo|F |P |
|  crt|         DENUMIREA MATERIALULUI           | NUMAR  | UNITATE  |STAREA |    MEDIU      | CANTITATE |    VALOARE    |nt |/ |  |cu|  |  |
|     |                                          |  FISA  | MASURA   |       |   PONDERAT    |           |               |   |St|  |  |  |  |
|-----|------------------------------------------|--------|----------|-------|---------------|-----------|---------------|---|--|--|--|--|--|
|  114| BCF MOTORINA 300000LEI/FILA              |   30507|   buc    |  NOU  |     248215.82 |    100.000|      24821582 | 92|UZ| 1|56| 3| 1|
|  115| ODORIZANT WC SOLID                       |   30512|   buc    |  NOU  |      17500.00 |      7.000|        122500 | 16|UZ| 1|50| 3| 1|
|  116| ODORIZANT CAMERA GLADE                   |   30514|   buc    |  NOU  |     180000.00 |     20.000|       3600000 | 16|UZ| 1|50| 3| 1|
|  117| RIVEX CLOR                               |   30516|   buc    |  NOU  |      32000.00 |      8.000|        256000 | 16|UZ| 1|50| 3| 1|
|  118| DOMESTOS GEL                             |   30517|   buc    |  NOU  |      32200.00 |     19.000|        611800 | 16|UZ| 1|50| 3| 1|
|  119| CIF PASTA CURATAT                        |   30518|   buc    |  NOU  |      45900.00 |      2.000|         91800 | 16|UZ| 1|50| 3| 1|
|  120| AJAX GEAM                                |   30519|   buc    |  NOU  |      41300.00 |     19.000|        784700 | 16|UZ| 1|50| 3| 1|
|  121| BON PREDARE TRANSFER                     |   30521|   car    |  NOU  |       6722.50 |      2.000|         13445 | 16|UZ| 1|36| 3| 1|
|  122| FOAIE COLECTIVA DE PREZENTA              |   30523|   buc    |  NOU  |        242.00 |    300.000|         72600 | 16|UZ| 1|56| 3| 1|
|  123| INDIGO RADEX                             |   30524|   buc    |  NOU  |      44130.00 |      5.000|        220650 | 16|UZ| 1|56| 3| 1|
